t ch1 ch2 ch3
417 4.00e-04 4.00e-04 -1.60e+00
418 -4.00e-04 -2.00e-04 -1.60e+00
419 4.00e-04 4.00e-04 0.00e+00
420 4.00e-04 0.00e+00 -1.60e+00
421 -8.00e-04 4.00e-04 0.00e+00
422 0.00e+00 0.00e+00 -8.00e-01
423 -8.00e-04 4.00e-04 0.00e+00
424 0.00e+00 0.00e+00 -8.00e-01
425 -8.00e-04 4.00e-04 8.00e-01
426 -8.00e-04 0.00e+00 -8.00e-01
427 4.00e-04 2.00e-04 1.60e+00
428 -4.00e-04 4.00e-04 8.00e-01
429 4.00e-04 -2.00e-04 1.60e+00
430 4.00e-04 2.00e-04 8.00e-01
431 -4.00e-04 0.00e+00 2.40e+00
432 -4.00e-04 0.00e+00 1.60e+00
433 4.00e-04 4.00e-04 2.40e+00
434 4.00e-04 4.00e-04 2.40e+00
435 -4.00e-04 -2.00e-04 1.60e+00
436 -4.00e-04 2.00e-04 1.60e+00
437 4.00e-04 -2.00e-04 3.20e+00
438 4.00e-04 0.00e+00 1.60e+00
439 -4.00e-04 4.00e-04 4.00e+00
440 -4.00e-04 0.00e+00 3.20e+00
441 4.00e-04 4.00e-04 4.00e+00
442 4.00e-04 -2.00e-04 3.20e+00
443 -4.00e-04 4.00e-04 4.80e+00
444 4.00e-04 0.00e+00 4.80e+00
445 -4.00e-04 4.00e-04 3.20e+00
446 0.00e+00 0.00e+00 4.00e+00
447 1.20e-03 4.00e-04 4.80e+00
448 4.00e-04 2.00e-04 4.00e+00
449 -4.00e-04 -2.00e-04 5.60e+00
450 4.00e-04 0.00e+00 6.40e+00
451 -4.00e-04 4.00e-04 4.00e+00
452 4.00e-04 0.00e+00 5.60e+00
453 -4.00e-04 4.00e-04 6.40e+00
454 -4.00e-04 0.00e+00 5.60e+00
455 4.00e-04 4.00e-04 6.40e+00
456 -4.00e-04 0.00e+00 5.60e+00
457 4.00e-04 4.00e-04 7.20e+00
458 -4.00e-04 0.00e+00 7.20e+00
459 4.00e-04 4.00e-04 6.40e+00
460 4.00e-04 2.00e-04 7.20e+00
461 -4.00e-04 0.00e+00 6.40e+00
462 -4.00e-04 2.00e-04 6.40e+00
463 4.00e-04 -2.00e-04 8.00e+00
